Tipo_Pericia,Tipo_Local,Qtd_Objetos,Qtd_Fotos,Qtd_Fitas,Horario_Exame,Delegacia,Tecnica_Utilizada,Violencia_Domestica,Vitima_Idosa,Classificacao_Prioridade
Cadáver Encontrado,Estabelecimento Comercial,3,21,0,2023-11-18 05:13:00,DEAM (Mulher),"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.3207
Explosão (sem vítima),Pátio,1,35,0,2023-04-29 22:55:00,1ª DP,Macrofotografia,True,True,0.4178
Maus Tratos de Animal,Estabelecimento Comercial,2,16,0,2023-11-10 11:13:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1521
Infanticídio,Via Pública,6,15,4,2023-04-10 13:02:00,3ª DP,"Luz forense/lanterna, Macrofotografia",False,False,0.6839
Veículo Localizado (furtado ou roubado),Área Rural,9,10,1,2023-09-02 04:30:00,DCA (Criança e Adolescente),Luz forense/lanterna,False,False,0.1
Afogamento,Residência,4,18,2,2023-04-16 02:32:00,2ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.2592
Estelionato,Área Rural,0,11,5,2023-08-29 06:19:00,DHPP (Homicídios),Empoamento,False,False,0.1787
Furto de Energia Elétrica ou Termodinâmica,Via Pública,0,5,1,2023-04-15 18:36:00,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna",1,True,0.3092
Homicídio,Residência,0,14,0,2023-11-09 13:49:00,DRFC (Furtos),"Empoamento, Luz forense/lanterna",False,True,0.855
Incêndio (sem vítima),Terreno Baldio,6,34,2,2023-11-30 18:54:00,DHPP (Homicídios),"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.2712
Veículo Localizado (furtado ou roubado),DP,9,6,1,2023-03-08 23:57:00,DRFC (Furtos),Macrofotografia,True,True,0.447
Furto de Energia Elétrica ou Termodinâmica,Via Pública,0,15,0,2023-04-01 11:12:00,3ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1855
Marca em Animal,Terreno Baldio,14,7,3,2023-01-07 05:30:00,2ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.3346
Dano Seguido de Lesão Corporal,Via Pública,4,63,0,2023-08-23 03:03:00,2ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",True,True,0.6901
Violação de Sepultura,Residência,0,27,0,2023-03-31 20:45:00,DRFC (Furtos),"Empoamento, Macrofotografia",,False,0.1396
Cadáver Encontrado,Pátio,0,63,0,2023-09-10 13:29:00,3ª DP,Luz forense/lanterna,False,False,0.1906
Eletroplessão,Área Rural,2,43,1,2023-10-23 08:36:00,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna",True,False,0.2787
Estelionato,Hospital,2,16,2,2023-08-19 20:23:00,3ª DP,Luz forense/lanterna,False,False,0.1543
Latrocínio e/ou Tentativa de Latrocínio,Hospital,3,14,0,2023-02-14 09:38:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",False,False,0.7173
Desmanche de Veículos,Residência,1,21,4,2023-13-45,3ª DP,"Empoamento, Luz forense/lanterna",False,False,0.1545
Violação de Sepultura,DP,6,12,2,2023-03-30 07:17:00,1ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",True,True,0.4231
Violação de Sepultura,Terreno Baldio,0,27,1,2023-08-16 02:40:00,2ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",True,False,0.3494
Violação de Domicílio,DP,0,30,2,2023-04-14 15:46:00,DEAM (Mulher),Macrofotografia,False,True,0.286
Tentativa de Suicídio,DP,5,17,0,2023-12-19 16:45:00,DEAM (Mulher),"Empoamento, Macrofotografia, Luz forense/lanterna",False,True,0.2968
Furto d'água,DP,0,7,1,2023-04-28 05:22:00,DRFC (Furtos),"Empoamento, Luz forense/lanterna",True,False,0.2632
Estelionato,Estabelecimento Comercial,1,32,0,2023-09-01 20:56:00,DCA (Criança e Adolescente),"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1949
Pichação,Estabelecimento Comercial,2,28,0,2023-13-45,DRFC (Furtos),"Luz forense/lanterna, Macrofotografia",False,False,0.105
Latrocínio e/ou Tentativa de Latrocínio,Hospital,4,12,5,2023-02-04 03:38:00,1ª DP,Luz forense/lanterna,False,False,0.6854
Explosão (sem vítima),Residência,6,,0,2023-12-01 22:11:00,1ª DP,"Macrofotografia, Empoamento",True,False,0.3298
Violação de Sepultura,DP,5,6,0,2023-11-17 21:57:00,2ª DP,"Empoamento, Luz forense/lanterna, Macrofotografia",True,True,0.4384
Roubo,Hospital,3,47,1,2023-08-04 01:52:00,DRFC (Furtos),"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.3844
Infanticídio,DP,0,24,2,2023-11-10 13:19:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",False,False,0.7081
Desmanche de Veículos,Via Pública,0,15,0,2023-08-02 21:57:00,1ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1744
Furto,Via Pública,5,12,0,2023-02-12 03:02:00,DEAM (Mulher),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.137
Infanticídio,Estabelecimento Comercial,4,26,1,2023-06-01 19:12:00,3ª DP,"Empoamento, Macrofotografia",True,False,0.8284
Aborto,Área Rural,0,23,1,2023-11-09 14:04:00,DRFC (Furtos),Luz forense/lanterna,False,True,0.3041
Roubo,Pátio,3,13,3,2023-09-19 22:44:00,2ª DP,Macrofotografia,False,False,0.3809
Dano Seguido de Lesão Corporal,Residência,1,62,0,2023-10-29 01:05:00,2ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",True,False,0.5594
Marca em Animal,Estabelecimento Comercial,2,18,1,2023-06-16 03:03:00,DCA (Criança e Adolescente),"Empoamento, Macrofotografia",False,True,0.3337
Extorsão,Hospital,2,8,1,2023-06-03 03:45:00,2ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.568
Violação de Sepultura,Área Rural,2,58,1,2023-02-22 21:12:00,2ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.3031
Arremesso de Projétil,Via Pública,2,38,0,2023-12-21 11:22:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.2655
Exercício Arbitrário das Próprias Razões,Estabelecimento Comercial,3,83,11,2023-08-30 10:08:00,3ª DP,Macrofotografia,True,True,0.4875
Exercício Arbitrário das Próprias Razões,Via Pública,1,16,1,,DRFC (Furtos),"Luz forense/lanterna, Empoamento",False,True,0.3407
Furto de Energia Elétrica ou Termodinâmica,Hospital,0,28,1,2023-03-29 04:59:00,DHPP (Homicídios),Macrofotografia,True,False,0.2532
Incêndio (com vítima),Área Rural,0,26,2,2023-11-04 04:58:00,DEAM (Mulher),Empoamento,True,True,0.7083
Adulteração de Placa e/ou Lacre,Pátio,6,44,0,2023-08-23 15:22:00,DHPP (Homicídios),"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.122
Extorsão,Área Rural,2,11,0,2023-07-31 19:53:00,3ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.5658
Latrocínio e/ou Tentativa de Latrocínio,Hospital,0,6,3,2023-03-18 07:48:00,3ª DP,Luz forense/lanterna,False,True,0.8169
Explosão (sem vítima),DP,0,7,1,2023-07-26 01:32:00,DRFC (Furtos),Empoamento,False,False,0.1394
Violação de Sepultura,Estabelecimento Comercial,0,7,3,2023-01-23 16:02:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento",True,False,0.299
Tráfico de Entorpecentes,Terreno Baldio,3,8,1,2023-03-12 11:08:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna, Empoamento",True,True,0.4171
Veículo Localizado (furtado ou roubado),Área Rural,8,6,2,2023-09-15 01:59:00,1ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",True,Nao,0.3324
Extorsão,Pátio,0,40,6,2023-11-18 00:16:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",True,True,0.7071
Latrocínio e/ou Tentativa de Latrocínio,Via Pública,4,41,1,2023-02-19 09:26:00,DCA (Criança e Adolescente),Empoamento,True,True,0.9805
Infanticídio,DP,0,16,1,2023-08-09 11:54:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento, Macrofotografia",True,True,0.9667
Cadáver Encontrado,Terreno Baldio,2,12,4,2023-06-18 00:30:00,DHPP (Homicídios),"Luz forense/lanterna, Empoamento",True,True,0.4014
Pichação,Estabelecimento Comercial,2,28,4,2023-04-02 23:47:00,2ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",True,False,0.299
Roubo Com Estupro,Área Rural,7,7,0,2023-06-26 09:27:00,DRFC (Furtos),Luz forense/lanterna,True,False,0.8721
Suicídio,,2,17,6,2023-04-21 03:46:00,3ª DP,"Macrofotografia, Luz forense/lanterna",True,True,0.4249
Explosão (sem vítima),DP,3,56,3,2023-02-02 15:26:00,1ª DP,Empoamento,True,False,0.3042
Furto Qualificado (arrombamento),Via Pública,0,51,0,data_invalida,2ª DP,Empoamento,True,False,0.3457
Eletroplessão,Área Rural,4,12,6,2023-12-22 14:22:00,DHPP (Homicídios),Macrofotografia,True,True,0.404
,Hospital,0,19,2,2023-03-16 09:16:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.1368
Local de Estupro e/ou Veículo Envolvido em Estupro,DP,2,35,1,2023-07-14 16:07:00,DHPP (Homicídios),Macrofotografia,True,False,0.8415
Ossada Encontrada,Via Pública,2,7,1,2023-10-15 14:38:00,DRFC (Furtos),"Empoamento, Luz forense/lanterna",True,False,0.3379
Adulteração de Placa e/ou Lacre,Via Pública,0,13,2,2023-05-04 10:48:00,1ª DP,Luz forense/lanterna,True,False,0.3441
Arremesso de Projétil,Residência,0,16,2,2023-03-22 03:29:00,DHPP (Homicídios),Empoamento,True,True,0.4899
Dano,Hospital,1,35,0,2023-08-10 13:30:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.172
Receptação,Terreno Baldio,16,5,0,2023-03-04 06:50:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna",True,True,0.4329
Explosão (com vítima),Residência,3,66,5,2023-07-27 07:27:00,3ª DP,"Luz forense/lanterna, Empoamento",False,False,0.4242
Abandono de Incapaz,Hospital,2,17,1,2023-03-06 11:47:00,3ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.8076
Adulteração de Placa e/ou Lacre,Pátio,3,5,0,2023-02-09 10:25:00,DCA (Criança e Adolescente),"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1963
Suicídio,Terreno Baldio,2,5,0,31/02/2023 25:00:00,DEAM (Mulher),"Empoamento, Luz forense/lanterna, Macrofotografia",False,False,0.1269
Estelionato,Hospital,1,18,0,2023-11-28 18:20:00,2ª DP,"Luz forense/lanterna, Macrofotografia",True,True,0.4559
Ossada Encontrada,Pátio,7,28,3,2023-08-31 22:48:00,DCA (Criança e Adolescente),Empoamento,False,True,0.318
Roubo,Residência,0,28,6,2023-08-10 17:24:00,3ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.384
Feminicídio,Hospital,1,7,3,2023-08-24 09:49:00,DEAM (Mulher),"Empoamento, Luz forense/lanterna, Macrofotografia",True,False,0.8974
Tráfico de Entorpecentes,Pátio,3,12,4,2023-09-22 12:01:00,1ª DP,"Macrofotografia, Empoamento",True,False,0.2924
Lesão Corporal,Residência,2,85,1,2023-11-19 18:08:00,3ª DP,Luz forense/lanterna,False,False,0.3807
Aborto,Hospital,0,13,1,2023-05-24 13:14:00,3ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.1317
Roubo,DP,0,32,1,2023-10-31 01:22:00,DCA (Criança e Adolescente),Empoamento,False,True,0.5131
Violação de Sepultura,Área Rural,0,5,3,2023-04-22 03:36:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.1345
Roubo Com Estupro,Hospital,1,35,2,2023-01-21 01:51:00,2ª DP,Luz forense/lanterna,True,False,0.8044
Explosão (com vítima),Residência,6,5,0,2023-10-09 00:39:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia",True,True,0.7067
Roubo Com Estupro,Pátio,2,21,3,2023-08-19 08:59:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",True,False,0.8184
Tentativa de Suicídio,Terreno Baldio,0,50,0,2023-05-25 17:06:00,2ª DP,"Macrofotografia, Empoamento",False,False,0.1456
Dano,Terreno Baldio,0,13,2,2023-02-28 16:27:00,2ª DP,Empoamento,True,False,0.3455
Furto d'água,DP,1,14,0,2023-02-09 17:13:00,3ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.1604
Tentativa de Suicídio,Via Pública,2,7,0,2023-11-19 22:42:00,2ª DP,Empoamento,True,False,0.2814
Furto em Interior de Veículo,Residência,1,17,0,2023-06-10 17:17:00,DRFC (Furtos),"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.2873
Homicídio,Pátio,0,16,0,,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.6865
Infanticídio,Área Rural,7,67,4,2023-01-15 09:03:00,1ª DP,Macrofotografia,False,True,0.8135
Dano Seguido de Lesão Corporal,Terreno Baldio,10,45,3,2023-03-13 15:06:00,1ª DP,"Luz forense/lanterna, Empoamento",True,False,0.5225
Maus Tratos de Animal,Residência,5,46,0,2023-12-30 09:55:00,DHPP (Homicídios),Empoamento,True,False,0.3328
Furto,Terreno Baldio,4,6,0,data_invalida,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna, Empoamento",True,False,0.3103
Ossada Encontrada,Via Pública,3,7,1,2023-08-11 14:11:00,3ª DP,"Empoamento, Macrofotografia",True,False,0.2675
Tentativa de Suicídio,DP,4,56,8,2023-11-09 01:52:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento",True,False,0.3488
Feto Encontrado,Área Rural,0,12,0,2023-11-09 07:41:00,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna, Empoamento",True,False,0.8788
Furto,Hospital,5,23,2,2023-03-20 21:26:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento, Luz forense/lanterna",true,True,0.4216
Estelionato,Pátio,1,33,1,2023-12-27 17:16:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",True,True,0.436
Extorsão,Pátio,2,11,3,2023-02-23 17:52:00,DHPP (Homicídios),"Luz forense/lanterna, Macrofotografia, Empoamento",True,False,0.5692
Marca em Animal,Estabelecimento Comercial,1,13,3,2023-09-27 23:22:00,2ª DP,Luz forense/lanterna,False,True,0.2947
Ossada Encontrada,Via Pública,0,9,1,2023-08-18 17:42:00,2ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",True,True,0.4514
Marca em Animal,Estabelecimento Comercial,3,5,1,2023-11-19 04:24:00,1ª DP,Luz forense/lanterna,True,True,0.4606
Explosão (sem vítima),,2,19,1,2023-12-14 20:14:00,1ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",False,True,0.2557
Adulteração de Placa e/ou Lacre,Pátio,0,17,5,2023-08-24 09:49:00,3ª DP,Empoamento,False,True,0.286
Ameaça,Estabelecimento Comercial,6,18,1,2023-11-23 00:06:00,DEAM (Mulher),Macrofotografia,True,True,0.4524
Dano Seguido de Lesão Corporal,Terreno Baldio,6,23,2,2023-06-17 09:40:00,DEAM (Mulher),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.4156
Maus Tratos de Animal,Pátio,0,34,0,2023-08-05 19:11:00,  DEAM (Mulher)  ,Luz forense/lanterna,True,False,0.3376
Extorsão,Pátio,2,38,2,2023-09-27 11:47:00,1ª DP,"Luz forense/lanterna, Empoamento",False,False,0.4345
Abandono de Incapaz,Via Pública,0,5,0,2023-12-21 22:33:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna",False,True,0.8046
Furto em Interior de Veículo,Área Rural,1,31,0,2023-09-29 11:57:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",True,True,0.4973
Feto Encontrado,DP,7,38,1,2023-05-15 03:55:00,3ª DP,Empoamento,True,True,0.9872
Extorsão,Residência,2,9,0,2023-04-11 06:50:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",True,False,0.5498
Explosão (sem vítima),Área Rural,4,126,0,2023-08-03 01:50:00,DRFC (Furtos),Luz forense/lanterna,False,False,0.1386
Incêndio (com vítima),Residência,0,15,4,2023-07-25 12:12:00,1ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",True,False,0.5063
Tráfico de Entorpecentes,DP,0,20,0,2023-01-09 01:42:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna",True,False,0.2541
Local de Estupro e/ou Veículo Envolvido em Estupro,Hospital,3,33,1,2023-11-13 08:31:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento, Luz forense/lanterna",False,True,0.8476
Furto Qualificado (arrombamento),Residência,4,7,0,data_invalida,2ª DP,Macrofotografia,False,True,0.2645
Tentativa de Homicídio,Área Rural,5,17,1,2023-05-13 06:00:00,1ª DP,Macrofotografia,False,False,0.7149
Violação de Sepultura,Estabelecimento Comercial,0,10,2,2023-02-07 09:42:00,DRFC (Furtos),Luz forense/lanterna,False,False,0.1439
Eletroplessão,Via Pública,1,41,0,data_invalida,3ª DP,Empoamento,True,True,0.4361
Receptação,Estabelecimento Comercial,0,31,4,2023-03-03 00:57:00,DEAM (Mulher),Macrofotografia,False,False,0.1913
Roubo Com Estupro,Estabelecimento Comercial,10,7,1,2023-11-19 21:46:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento, Macrofotografia",False,True,0.8554
Extorsão,Via Pública,7,26,1,2023-02-10 19:15:00,DRFC (Furtos),Empoamento,True,1,0.543
Furto em Interior de Veículo,Pátio,1,17,1,2023-03-13 07:09:00,1ª DP,"Empoamento, Macrofotografia",False,True,0.3003
Dano Seguido de Lesão Corporal,Área Rural,0,51,1,2023-09-14 08:59:00,DRFC (Furtos),"Empoamento, Luz forense/lanterna",True,False,0.5946
Furto Qualificado (arrombamento),Residência,2,6,0,2023-01-16 14:49:00,DHPP (Homicídios),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.1319
Tentativa de Homicídio,Pátio,3,14,0,2023-01-18 02:10:00,2ª DP,Empoamento,False,False,0.7359
  Eletroplessão  ,Terreno Baldio,2,43,3,2023-02-26 12:14:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.1077
Violação de Sepultura,Via Pública,6,52,0,2023-12-27 01:29:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento",True,true,0.328
Maus Tratos de Animal,Terreno Baldio,0,56,0,2023-09-23 05:08:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia",False,True,0.3169
Tráfico de Entorpecentes,Residência,4,6,0,2023-12-10 02:38:00,1ª DP,"Empoamento, Luz forense/lanterna",False,False,0.1305
Infanticídio,Hospital,0,26,3,2023-10-01 07:58:00,2ª DP,"Luz forense/lanterna, Empoamento",False,False,0.6515
Ameaça,Hospital,2,58,0,2023-03-16 06:48:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento, Macrofotografia",True,True,0.4247
Pichação,Área Rural,2,13,5,2023-07-24 12:43:00,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna",True,False,0.3322
Tentativa de Homicídio,Residência,2,21,2,2023-01-11 17:15:00,DCA (Criança e Adolescente),Empoamento,False,True,0.8373
Feminicídio,DP,2,51,0,2023-04-30 05:07:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",True,True,0.9621
Violação de Domicílio,Via Pública,1,59,1,2023-09-12 04:34:00,DRFC (Furtos),"Luz forense/lanterna, Empoamento",False,False,0.1149
Tráfico de Entorpecentes,Área Rural,0,12,0,2023-03-17 10:19:00,DEAM (Mulher),Luz forense/lanterna,False,False,0.1042
Dano Seguido de Lesão Corporal,Hospital,4,8,0,2023-08-16 05:37:00,DHPP (Homicídios),Macrofotografia,True,True,0.6683
Violação de Sepultura,Via Pública,5,21,1,2023-08-17 02:02:00,dca (criança e adolescente),"Luz forense/lanterna, Macrofotografia",True,False,0.3108
Afogamento,Pátio,5,11,2,2023-09-04 14:54:00,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna",True,True,0.4729
Receptação,Estabelecimento Comercial,0,38,1,2023-08-19 15:55:00,DRFC (Furtos),Empoamento,True,True,0.4591
Adulteração de Placa e/ou Lacre,DP,5,13,0,2023-07-23 17:59:00,DRFC (Furtos),"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.3086
Pichação,Residência,6,6,4,2023-12-16 01:55:00,DHPP (Homicídios),"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.2805
Estelionato,Via Pública,4,47,0,2023-06-23 20:19:00,DEAM (Mulher),Macrofotografia,False,False,0.1322
Estelionato,Estabelecimento Comercial,0,14,0,2023-12-06 11:33:00,2ª DP,"Macrofotografia, Empoamento",False,False,0.1575
Suicídio,Via Pública,1,32,0,2023-08-19 16:23:00,DEAM (Mulher),Luz forense/lanterna,False,False,0.1778
Abandono de Incapaz,Pátio,4,22,5,2023-02-08 23:38:00,1ª DP,"Empoamento, Luz forense/lanterna, Macrofotografia",False,False,0.6554
Latrocínio e/ou Tentativa de Latrocínio,Terreno Baldio,0,14,2,2023-12-12 04:20:00,1ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.6602
Lesão Corporal,DP,2,83,0,2023-03-15 16:58:00,1ª DP,Empoamento,True,True,0.7208
Furto,Terreno Baldio,8,41,6,2023-02-07 07:00:00,2ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",True,True,0.4625
Incêndio (sem vítima),Hospital,0,25,1,2023-11-21 11:40:00,1ª DP,Empoamento,False,True,0.3307
Latrocínio e/ou Tentativa de Latrocínio,Via Pública,4,14,0,data_invalida,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna",False,True,0.8289
Ossada Encontrada,DP,1,13,6,2023-09-17 21:02:00,3ª DP,Macrofotografia,False,False,0.1891
Roubo,Área Rural,0,6,1,2023-09-01 04:46:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna",True,False,0.5006
Dano,Terreno Baldio,0,52,1,2023-12-31 07:18:00,DRFC (Furtos),"Empoamento, Macrofotografia",False,0,0.2556
Furto d'água,Pátio,0,5,1,2023-06-21 21:43:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento",False,False,0.1369
Receptação,Estabelecimento Comercial,0,10,0,2023-04-15 02:57:00,3ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1718
Ossada Encontrada,DP,2,68,0,2023-11-05 16:46:00,1ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",true,True,0.4076
Lesão Corporal,Estabelecimento Comercial,0,30,1,2023-02-03 04:41:00,1ª DP,Empoamento,True,True,0.6814
Furto em Interior de Veículo,Hospital,10,16,0,2023-06-22 16:20:00,DRFC (Furtos),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.1736
Tráfico de Entorpecentes,Estabelecimento Comercial,0,16,0,2023-01-11 17:24:00,3ª DP,Macrofotografia,True,False,0.3436
Local de Estupro e/ou Veículo Envolvido em Estupro,Residência,3,9,3,2023-06-21 10:33:00,DEAM (Mulher),Luz forense/lanterna,True,False,0.8035
Desmanche de Veículos,Hospital,6,46,3,2023-02-08 02:17:00,DRFC (Furtos),Luz forense/lanterna,True,False,0.3434
Explosão (sem vítima),Estabelecimento Comercial,3,7,0,2023-07-09 22:14:00,DHPP (Homicídios),Luz forense/lanterna,False,False,0.1471
Pichação,Terreno Baldio,4,34,0,2023-06-02 07:29:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.1478
Adulteração de Placa e/ou Lacre,DP,999999,10,0,2023-04-16 17:40:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia",True,True,0.4308
Furto d'água,Via Pública,0,49,0,2023-07-14 03:53:00,3ª DP,"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.1607
Pichação,DP,13,12,0,2023-03-06 09:32:00,3ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",True,True,0.4417
