Tipo_Pericia,Tipo_Local,Qtd_Objetos,Qtd_Fotos,Qtd_Fitas,Horario_Exame,Delegacia,Tecnica_Utilizada,Violencia_Domestica,Vitima_Idosa,Classificacao_Prioridade
Explosão (com vítima),Estabelecimento Comercial,0,21,0,2023-04-13 20:57:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna",False,False,0.3605
Explosão (sem vítima),Via Pública,16,49,14,2023-10-09 20:29:00,DRFC (Furtos),Macrofotografia,False,True,0.3437
Abandono de Incapaz,Terreno Baldio,0,49,0,2023-01-11 09:38:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia",False,True,0.8891
Furto de Energia Elétrica ou Termodinâmica,Residência,0,10,1,2023-11-22 09:08:00,DEAM (Mulher),Macrofotografia,True,True,0.4289
Marca em Animal,Residência,2,13,0,2023-02-26 20:06:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento",True,False,0.2955
Violação de Domicílio,Pátio,0,59,0,2023-04-17 03:56:00,2ª DP,"Luz forense/lanterna, Macrofotografia",False,True,0.3313
Disparo de Arma de Fogo,Estabelecimento Comercial,2,42,2,2023-08-06 05:36:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento",False,False,0.357
Desmanche de Veículos,Pátio,0,33,0,2023-11-23 01:44:00,DRFC (Furtos),"Luz forense/lanterna, Macrofotografia",False,True,0.3498
Latrocínio e/ou Tentativa de Latrocínio,DP,5,5,2,2023-08-14 12:46:00,1ª DP,Empoamento,False,False,0.7411
Latrocínio e/ou Tentativa de Latrocínio,Via Pública,0,39,0,2023-07-25 13:27:00,DHPP (Homicídios),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.7176
Feminicídio,Via Pública,1,36,2,2023-07-02 12:04:00,3ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.6869
Suicídio,Hospital,3,19,3,2023-12-25 12:04:00,2ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.1241
Aborto,Pátio,0,8,2,2023-05-25 07:41:00,DHPP (Homicídios),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.1245
Exercício Arbitrário das Próprias Razões,Via Pública,0,9,0,2023-01-19 00:31:00,DEAM (Mulher),Luz forense/lanterna,False,False,0.1471
Furto de Energia Elétrica ou Termodinâmica,Área Rural,4,67,0,2023-08-05 11:16:00,2ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",False,True,0.2893
Incêndio (sem vítima),Via Pública,0,9,0,2023-11-25 09:29:00,DHPP (Homicídios),Luz forense/lanterna,True,False,0.271
Ameaça,Via Pública,0,26,4,2023-03-07 14:33:00,3ª DP,"Empoamento, Macrofotografia",True,False,0.3307
Pichação,Estabelecimento Comercial,1,30,1,2023-10-19 20:39:00,3ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",True,False,0.3437
Ossada Encontrada,Hospital,0,12,3,2023-10-23 10:54:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.2841
Disparo de Arma de Fogo,Terreno Baldio,12,33,6,2023-07-15 03:21:00,1ª DP,Empoamento,False,False,0.3795
Feto Encontrado,Terreno Baldio,1,17,4,2023-10-30 08:49:00,DEAM (Mulher),Empoamento,True,True,0.9615
Estelionato,Pátio,2,5,2,2023-06-25 06:36:00,3ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.1267
Incêndio (sem vítima),Via Pública,4,12,0,2023-03-01 17:39:00,DHPP (Homicídios),Macrofotografia,False,False,0.1389
Furto d'água,Via Pública,1,11,0,2023-09-22 21:44:00,3ª DP,Empoamento,False,False,0.167
Furto d'água,Hospital,4,21,0,2023-10-28 02:43:00,DRFC (Furtos),Macrofotografia,False,False,0.1924
Estelionato,Residência,11,6,3,2023-11-27 15:32:00,DRFC (Furtos),"Empoamento, Luz forense/lanterna",False,False,0.1091
Violação de Domicílio,Via Pública,0,68,5,2023-07-14 10:32:00,DEAM (Mulher),Macrofotografia,False,False,0.1199
Eletroplessão,Residência,8,23,1,2023-06-07 12:29:00,3ª DP,"Empoamento, Luz forense/lanterna, Macrofotografia",False,False,0.1537
Furto,Estabelecimento Comercial,15,9,1,2023-05-16 17:17:00,3ª DP,Empoamento,True,False,0.2748
Arremesso de Projétil,Área Rural,2,6,1,2023-07-05 17:20:00,DCA (Criança e Adolescente),Empoamento,False,True,0.2632
Incêndio (com vítima),Hospital,2,16,0,2023-07-23 09:38:00,2ª DP,"Macrofotografia, Empoamento",False,False,0.4368
Violação de Sepultura,Pátio,1,12,2,2023-08-28 21:00:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna, Empoamento",True,True,0.4355
Aborto,Residência,3,22,6,2023-01-21 08:04:00,DEAM (Mulher),"Macrofotografia, Empoamento, Luz forense/lanterna",True,True,0.4329
Incêndio (sem vítima),Residência,6,34,1,2023-06-20 11:03:00,DRFC (Furtos),Macrofotografia,False,True,0.3272
Explosão (com vítima),Hospital,0,10,5,2023-09-28 13:14:00,1ª DP,"Luz forense/lanterna, Macrofotografia",True,True,0.6796
Aborto,DP,2,67,1,2023-12-04 23:10:00,DEAM (Mulher),Luz forense/lanterna,True,True,0.4742
Infanticídio,Terreno Baldio,1,20,1,2023-03-06 13:08:00,DHPP (Homicídios),"Luz forense/lanterna, Empoamento",True,False,0.8069
Incêndio (sem vítima),Via Pública,8,62,0,2023-12-08 07:19:00,DHPP (Homicídios),Empoamento,False,False,0.1393
Tráfico de Entorpecentes,Via Pública,0,10,1,2023-11-12 19:25:00,DEAM (Mulher),"Empoamento, Luz forense/lanterna, Macrofotografia",True,True,0.4633
Ossada Encontrada,Terreno Baldio,1,8,2,2023-02-24 17:41:00,DEAM (Mulher),"Macrofotografia, Empoamento",False,False,0.1494
Eletroplessão,Via Pública,0,23,0,2023-12-22 13:07:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna",False,False,0.1011
Tentativa de Suicídio,Pátio,1,14,0,2023-10-15 14:34:00,2ª DP,"Luz forense/lanterna, Macrofotografia",True,False,0.2599
Dano,Pátio,7,16,1,2023-11-27 15:54:00,2ª DP,Macrofotografia,False,True,0.2907
Furto d'água,Pátio,3,25,2,2023-04-25 18:57:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.1114
Dano,Área Rural,1,31,0,2023-10-11 00:22:00,DHPP (Homicídios),Luz forense/lanterna,False,False,0.1407
Feto Encontrado,Hospital,0,12,0,2023-05-02 20:42:00,DRFC (Furtos),"Macrofotografia, Luz forense/lanterna",False,False,0.6814
Pichação,Via Pública,0,24,0,2023-07-24 18:48:00,3ª DP,"Luz forense/lanterna, Macrofotografia",True,False,0.3279
Dano,Residência,0,6,2,2023-09-21 03:55:00,2ª DP,"Macrofotografia, Luz forense/lanterna, Empoamento",False,True,0.3457
Aborto,Pátio,2,5,0,2023-12-20 01:22:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento",False,True,0.3473
Dano Seguido de Lesão Corporal,Via Pública,3,30,2,2023-05-17 22:05:00,3ª DP,Empoamento,True,False,0.5918
Tráfico de Entorpecentes,Pátio,0,25,0,2023-12-07 07:48:00,1ª DP,Empoamento,False,False,0.164
Aborto,Residência,0,33,3,2023-04-04 09:18:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento, Macrofotografia",False,True,0.314
Veículo Localizado (furtado ou roubado),Terreno Baldio,0,25,0,2023-02-05 19:04:00,DEAM (Mulher),Luz forense/lanterna,True,False,0.2559
Aborto,Residência,0,20,0,2023-05-23 15:06:00,2ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1207
Tentativa de Suicídio,Área Rural,4,52,3,2023-01-15 02:38:00,2ª DP,Luz forense/lanterna,True,False,0.3441
Afogamento,Estabelecimento Comercial,3,36,0,2023-11-18 18:28:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.2875
Latrocínio e/ou Tentativa de Latrocínio,Área Rural,0,48,1,2023-03-26 02:22:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",False,False,0.6516
Dano,Residência,0,8,0,2023-05-18 01:11:00,DRFC (Furtos),"Empoamento, Macrofotografia, Luz forense/lanterna",True,True,0.487
Exercício Arbitrário das Próprias Razões,Pátio,0,30,0,2023-04-15 05:53:00,DHPP (Homicídios),"Empoamento, Macrofotografia, Luz forense/lanterna",False,False,0.1895
Violação de Domicílio,Terreno Baldio,7,7,3,2023-12-27 12:24:00,DHPP (Homicídios),"Luz forense/lanterna, Macrofotografia",True,False,0.3122
Lesão Corporal,DP,7,17,0,2023-10-31 18:29:00,DRFC (Furtos),"Luz forense/lanterna, Macrofotografia, Empoamento",True,True,0.6965
Maus Tratos de Animal,Hospital,0,21,0,2023-07-22 17:13:00,1ª DP,"Empoamento, Macrofotografia, Luz forense/lanterna",False,True,0.3154
Exercício Arbitrário das Próprias Razões,Hospital,4,41,0,2023-02-05 18:33:00,2ª DP,Macrofotografia,False,False,0.1412
Infanticídio,Via Pública,2,12,4,2023-01-08 01:12:00,DRFC (Furtos),"Macrofotografia, Empoamento, Luz forense/lanterna",False,False,0.7082
Lesão Corporal,Estabelecimento Comercial,1,21,3,2023-11-09 13:02:00,2ª DP,"Luz forense/lanterna, Macrofotografia",False,False,0.4475
Ameaça,Pátio,1,20,3,2023-05-21 12:35:00,DEAM (Mulher),"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.306
Violação de Sepultura,Estabelecimento Comercial,6,6,2,2023-06-17 16:35:00,3ª DP,"Empoamento, Luz forense/lanterna",True,False,0.3395
Tentativa de Suicídio,Via Pública,5,14,0,2023-11-07 23:52:00,1ª DP,"Luz forense/lanterna, Empoamento",True,False,0.3492
Aborto,Residência,2,7,0,2023-09-24 04:35:00,1ª DP,Luz forense/lanterna,False,True,0.2836
Tráfico de Entorpecentes,DP,0,31,0,2023-08-07 07:38:00,DEAM (Mulher),"Luz forense/lanterna, Macrofotografia, Empoamento",False,True,0.328
Receptação,Pátio,2,13,1,2023-10-15 18:05:00,3ª DP,Luz forense/lanterna,False,True,0.2745
Explosão (sem vítima),Terreno Baldio,4,26,10,2023-02-12 15:51:00,DHPP (Homicídios),"Empoamento, Macrofotografia",True,False,0.2803
Receptação,Terreno Baldio,7,12,0,2023-11-07 19:29:00,1ª DP,"Empoamento, Luz forense/lanterna",False,False,0.1823
Ameaça,Via Pública,0,8,0,2023-11-19 02:01:00,DCA (Criança e Adolescente),"Empoamento, Macrofotografia",True,False,0.2848
Feminicídio,Área Rural,2,7,0,2023-05-29 18:51:00,DHPP (Homicídios),"Luz forense/lanterna, Macrofotografia",True,False,0.8055
Furto Qualificado (arrombamento),Terreno Baldio,3,52,0,2023-06-27 08:19:00,1ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.3053
Dano Seguido de Lesão Corporal,Via Pública,2,10,2,2023-08-21 06:56:00,2ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",True,False,0.5714
Extorsão,Terreno Baldio,0,18,1,2023-11-11 15:27:00,DEAM (Mulher),Macrofotografia,False,True,0.5736
Furto d'água,Hospital,9,86,1,2023-08-29 15:34:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna, Empoamento",False,False,0.1007
Marca em Animal,Estabelecimento Comercial,8,58,1,2023-02-23 07:01:00,3ª DP,"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.3077
Latrocínio e/ou Tentativa de Latrocínio,Terreno Baldio,1,14,1,2023-11-29 11:22:00,2ª DP,"Empoamento, Macrofotografia",True,False,0.8788
Feminicídio,Área Rural,2,28,2,2023-10-11 09:19:00,DHPP (Homicídios),Macrofotografia,True,True,0.9936
Roubo Com Estupro,Pátio,1,11,0,2023-11-11 01:42:00,2ª DP,"Luz forense/lanterna, Empoamento, Macrofotografia",False,True,0.8007
Adulteração de Placa e/ou Lacre,Hospital,4,80,4,2023-04-04 15:19:00,DEAM (Mulher),Macrofotografia,False,False,0.1886
Adulteração de Placa e/ou Lacre,Terreno Baldio,1,30,2,2023-08-20 07:07:00,DCA (Criança e Adolescente),"Macrofotografia, Empoamento, Luz forense/lanterna",True,False,0.3306
Eletroplessão,DP,2,18,1,2023-07-07 12:19:00,2ª DP,"Macrofotografia, Luz forense/lanterna",False,False,0.1007
Disparo de Arma de Fogo,DP,2,28,1,2023-07-06 14:03:00,DCA (Criança e Adolescente),Empoamento,False,False,0.4471
Extorsão,Pátio,6,45,6,2023-11-05 21:50:00,1ª DP,Macrofotografia,True,False,0.5018
Pichação,DP,1,9,2,2023-01-10 13:13:00,DHPP (Homicídios),"Empoamento, Macrofotografia",True,True,0.4441
Furto d'água,Via Pública,2,8,2,2023-03-14 18:20:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento",True,False,0.286
Extorsão,Estabelecimento Comercial,1,24,3,2023-02-16 05:37:00,DRFC (Furtos),"Empoamento, Macrofotografia",False,True,0.5644
Latrocínio e/ou Tentativa de Latrocínio,Terreno Baldio,0,36,1,2023-03-24 14:07:00,DEAM (Mulher),Luz forense/lanterna,True,True,0.9517
Estelionato,Área Rural,2,19,2,2023-06-27 07:56:00,DHPP (Homicídios),"Macrofotografia, Luz forense/lanterna, Empoamento",True,True,0.4579
Adulteração de Placa e/ou Lacre,DP,2,34,0,2023-01-22 09:48:00,2ª DP,Empoamento,False,True,0.2687
Receptação,Via Pública,4,13,0,2023-05-22 16:50:00,DEAM (Mulher),"Macrofotografia, Luz forense/lanterna",True,False,0.3179
Adulteração de Placa e/ou Lacre,Residência,2,5,2,2023-07-11 18:44:00,3ª DP,"Empoamento, Macrofotografia",False,False,0.1312
Roubo Com Estupro,Terreno Baldio,0,35,2,2023-07-04 06:04:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia, Empoamento",True,False,0.888
Veículo Localizado (furtado ou roubado),Hospital,2,14,1,2023-11-23 20:52:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Macrofotografia",True,False,0.3048
Furto em Interior de Veículo,Pátio,9,10,2,2023-09-10 00:51:00,DHPP (Homicídios),"Empoamento, Luz forense/lanterna, Macrofotografia",False,False,0.1697
Pichação,Terreno Baldio,1,5,2,2023-06-01 06:36:00,DCA (Criança e Adolescente),"Macrofotografia, Luz forense/lanterna, Empoamento",True,True,0.4381
Furto,Estabelecimento Comercial,0,18,3,2023-06-15 17:31:00,2ª DP,Empoamento,False,True,0.2631
Suicídio,DP,1,12,0,2023-04-24 02:04:00,DCA (Criança e Adolescente),"Empoamento, Luz forense/lanterna",False,False,0.1498
Furto Qualificado (arrombamento),Residência,2,60,3,2023-05-05 03:55:00,2ª DP,Luz forense/lanterna,True,False,0.2751
Extorsão,Hospital,4,48,4,2023-03-15 02:21:00,2ª DP,"Empoamento, Luz forense/lanterna",False,True,0.5631
Cadáver Encontrado,Pátio,0,6,4,2023-10-01 04:08:00,DHPP (Homicídios),"Macrofotografia, Empoamento, Luz forense/lanterna",True,True,0.4083
Receptação,DP,0,9,0,2023-08-03 21:32:00,DCA (Criança e Adolescente),Luz forense/lanterna,True,True,0.4929
Estelionato,Pátio,2,7,2,2023-03-21 09:07:00,DCA (Criança e Adolescente),"Luz forense/lanterna, Empoamento, Macrofotografia",False,False,0.1856
Furto em Interior de Veículo,DP,3,52,5,2023-11-28 15:37:00,DRFC (Furtos),Luz forense/lanterna,False,False,0.1332
